魏纪中：中超先天不足后天失调 总局的责任不可推卸
江苏客场轻松搞定没落上海 恐怖双煞联手砍下66分
张吉龙出席亚足联裁委会会议 赞亚洲裁判有顶级水平
女足头号锋将淡化战地生日 希望胜日本为国奥复仇
樱花上诉AFC谴责韩球迷庆祝地震 全北发表致歉信
日本女足缔造不可思议奇迹 点球前的笑容逼疯美国
精灵后卫带伤出战 福建男篮迎战浙江誓取赛季首胜 
谢亚龙从商首尝败绩 中体产业半年报净利狂降八成
徐根宝赛后主动道贺迟尚斌 甲A金牌级对手互相恭维
郜林梅开二度让球迷忘记徐亮 仅一战便上位城市英雄 
杨力衣物被偷江苏被迫报警 CBA赛场又曝“盗窃案”
本季助攻王已被一人提前锁定 惊人表现再难找第二
CBA成就“尼日利亚姚明” 奥德杰11年闯11国联赛
1030前中国队主帅米卢做客新浪体育聊中国足球
路透社报道群殴门处罚结果：CBA联赛在争议中前进
舆论调查-您如何看待中国女足本届东亚赛的表现？
朱芳雨揭秘数据直降原因 两大豪强成广东争冠劲敌
昔日国脚变身火锅店老板 魏群望借此机会与朋友聊球
大战前新疆爆出换援消息 意在总决赛还是烟雾弹？
专家：危机令CBA老总损失惨重 新赛季将缩减成本
斯奈德首次受审否认入室抢劫 问题得分王仍在狱中
篮协承认CBA存在问题哨 不存在“高薪养廉”问题
韦迪否认邵文忠被免职 高度评价新副总刘卫东董铮
布帅临行不忘叮嘱队员别忘了集训中教给你们的东西
辽宁两伤兵赛前狂练力量 战北京限制外援将成关键
FIFA代表团访华扶助中国足球 双方将签署合作协议
八一首个主场要碰硬骨头 阿的江：今年回来有些晚
总局说明崔大林协查情况 主管领导说明情况未涉案
山东巨无霸惊人表演扭转乾坤 巩晓彬透露他将留队
广东欲夺第5冠关键在第4场 横扫落空官员白带西装
辽宁站上悬崖却想起一人 有他在球队才能令人恐惧
FIBA主动伸来橄榄枝 北京申办男篮世锦赛有对手
监控录像已上交篮协 87.82%新浪网友支持重判上海
军苏对决江苏谁来防大郅？外援：他比诺维茨基强
核心后卫点出江苏所有变化 胡雪峰：终解决一难题
朱峥嵘上演帽子戏法 东亚6-1狂胜四川吹响冲超号角
19时微博直播五人制中国VS巴西 胡杰：争取能破门
迟尚斌徐根宝球场聚首 老对手重相逢大迟得意而归
CBA亚洲外援政策引起巨大争议 李元伟一票定江山
巴博萨排双快马突袭收奇效 杨程出彩防线仍是短板
水上干部或平调足管中心 当事人：若去将全力以赴
巴特尔低迷领头羊客场惜败 本森准三双陕西3连胜
山东新外援高调亮相 他已迫不及待要抢巨无霸饭碗
三大赛：江苏扣将极限飞跃夺冠 大漠第一刀起狂飙
足协新掌门百日改革四步曲世界杯任务仍是重中之重
威尔斯下岗早已不是秘密 消息成真究竟谁欺骗了谁
阿的江叹最强阵容还输球解决一难题我们仍能崛起
奥德杰领衔3强援引爆山西自信 1缺陷或成致命隐忧
新疆新外援传球实在诡异 任何位置都能传致命杀机 
新浪VS张凯：去国王进行强化训练 选外援还是秘密
视频-小韦德演绎最飘逸身手 哈里斯统治球场两端
天津外援梦想重返NBA 马刺旧将得绰号“恐怖伊万”
火箭队友热议三箭客来华 街球王姚给他们掏钱了
薛立：长城杯促进青少年交流 足球发展需家长支持
洛杉矶媒体：斯潘成美国公敌 甜瓜不忘世锦赛之耻
国家级裁判酒后伤人停赛一年 篮协下达“禁酒令”
不是足协人却定足协事 “韦新政”恐引“杀身”祸
K联赛官方宣布前国脚自首 全盘供述自己打假球情况
留学被忽悠？胡卫东怒辟谣 复辟南钢一说纯属谣传
新疆队不愿冒险更换大外援 广厦战术重点看防胡安
总决赛前两场门票已卖光 一句真理朱芳雨重复千遍
CBA投资人会与争议无关 篮协：不会涉及赌球疑案
中国足球体制不改“南勇”不绝 足球问题是制度问题
足协只手遮天令中国足球跌谷底 权力过大是谁的责任
信兰成直言男篮选帅不排斥外教选帅方案还在酝酿
5大未来之星谁能成支柱 亚篮网：他们会被NBA关注
哈里斯有望复出战本森 东莞宣布告别全华班阵容
姚明无奈澳大利亚使阴招 白骨爪剪刀脚终拖垮巨人
广东下周赴辽宁征战全运会预赛 大名单易建联在列
黑马双煞难敌卫冕冠军车轮战 广东擒陕西夺四连胜
川青比赛陷赌球传闻 诡异盘口催使球员自破家门？
全运女足预赛新疆队30人围攻裁判 足协表态要严惩
调查-您如何看待谢亚龙李冬生蔚少辉被立案侦查？
钻石杯-姚明14分阿联交白卷 男篮完败袋鼠创新低
智利女总统为新球场揭幕 开球礼将皮鞋踢飞3米(视频)
东莞乘胜追击战山东 巩晓彬心急：时间已经不多了
巴西后卫麦孔已加盟皇家马德里 转会费达3040万欧元
商瑞华看扁男女足 直言领导思路不变中国足球将没戏
韩媒称K联赛赌球进入最后阶段 否认赌球有社会背景
姚明动画片里提前感受当爹我的口音就那么老吗？
润宇隆轻松备战摆进攻阵 领队新投资方不出钱白搭
足彩专家：中超足彩需全面考虑 反面教材或成领头羊
女足VS澳大利亚首发：韩端登场 澳洲阵容全面变脸
宏登前董事长透露转让苦衷：玩5年足球真像上了贼船
王治郅七年后CBA竟遇前队友 外援赞其仍是NBA水准
马晓旭：并非球队的秘密武器 出线不该成心理负担
万达重返中国足坛始末王健林看到希望 更高层回归
性感女神令放荡浪子收心 斯内德生猛全靠贤内助(图)
北京险胜山东拿下八强关键战 琼斯末节爆发砍37分
揭开黑哨隐秘外衣夜半虚门待黑金 8万现钞塞被窝
周鹏终于变身超级大前锋 亚俱杯找回昔日国青感觉
广厦客胜吉林提前进季后赛 怀特大爆发高效砍41分
琼斯后悔冲动葬送北京好局 张凯替补登场成关键先生
强力外援一回主场就进球 金尼：比赛胜利才是真理
奥神曾有1位亚洲最佳女教练 李昕生命里只有篮球
广东诠释今年并非外援天下 快攻1扣令MVP正式重生
李承鹏：荷兰队坚韧像德国 巴西太嫩关键时缺巨星
恒大接手广药放言两年内进亚冠 第三年夺中超冠军
女足生死战预计首发左路杀手回归 变阵451拼中场
篮协公开选拔中国男篮主帅 五大条件外教沦为配角
杭州城运队：拖延时间是规则允许 主帅下跪太冲动
CBA金哨执法尺度引质疑 浙江德比59次犯规坑了谁
张雄：辽宁已失对魔兽优先权 是否取消由篮协决定
张庆鹏砍38分辽宁完胜浙江 结束三连败重返第12位
“棒子”能否撬动CBA版图？山西高层：暗藏风险！
郭家军首秀受伤病打击 大郅休战10天王磊咬牙坚持
国事为重孙悦弃夏季联赛 努力奋斗才配总冠军戒指
东莞双子星不想国家队 张凯证实年内将与女友完婚
亚篮网曝CBA假年龄名单：篮协新政将令他们现真身
混乱中北京捡来哈里森 新老大扬言会管好问题青年
刘建宏：浪费时间比贪腐更可恨 总局有责任思考
辽宁屈辱溃败受1人所赐 上季亚军2场死于相同命门
韩端：打封闭我也要上场 韩国假小子来不来没关系
阿的江：公牛王朝也有倒下时 八一来年必进季后赛
刘炜坚称坐板凳与群殴门无关：没这回事怎么处罚？
斯奈德1人发威难憾整体差距 6人上双江苏完胜浙江
南钢“老马”最恨马屁精 唐正东笑谈房辉外号由来
CBA垂直起跳王终迎爆发 27岁的他依然能令你疯狂
国家队七月迎战劲旅立陶宛 姚明许愿会到现场观战
军体会-大郅场均22+八一获第六 六战三胜捍卫尊严
总冠军阵容却被一环节葬送 辽宁还可浪费多少时间
姚明：我们本来就是死亡之组 阿联能对上诺维茨基
沮丧日男篮有人闪耀全场 在亚洲他的威力无可估量
亚洲二流朝鲜出线启示录 中国距世界杯究竟多远？
北理工最后一分钟城门告破 2比2憾平南京遭10轮不胜
刘炜称只为保护队友 李秋平：只能等待篮协的处理
嘉伯斯奈德领衔半程十大恶人 CBA火箭帮竟悉数入选
扫黑风暴让足坛人人自危 前国脚摆酒求记者留情
前瞻-威尔斯或首次亮相CBA 八一血拼东莞凶多吉少
三支国字号女足教练组现山东帮 前国门高红入国少
奥预赛-中国女足0-1负日本 首次无缘奥运韩端告别
亚残运会中国盲人足球队3-0日本 报亚运一箭之仇
资深人士还原真实的谢亚龙：曾两度让利于俱乐部
邵文忠返岗消息引足协诧异 林晓华：他一直在协查
闵鹿蕾透露首钢选外援范围 陈磊点出美国之行收获
金志扬：1分就是开门红 韦迪：中甲开幕式令我吃惊
电视记者和江苏安保互殴 记者席座位成导火索(图)
一人缺阵令八一陷魔咒 摆脱噩梦般颓势只有一药方
郭士强未上位已获最重量支持 姚明：他是正直的人
新疆双煞联手50分横扫天津 四连胜后稳坐北区老大
李金羽传授女足破门秘籍：超级射手个性需特立独行
NCAA里的山东大汉曾引矛盾 2米21天才是下个姚明
张辛昕生日“红”运当头 致命犯规反激发国安斗志
CBA季后赛首轮对阵表出炉：广东新疆江苏晋级无忧
广东核心新季再创里程碑 辉煌荣誉此后非军苏独享
窒息一节让联盟老大失颜面 华丽战绩却藏惊人隐患
中乙-日之泉两回合4-1胜火车头 广东足球重返中甲
巴西一球队创世界最差俱乐部 70年历史共失3550球
奥运后卫36分难救主 辽宁全华班惨遭山西21分横扫
南勇获刑将在12年左右 黑哨陆俊等刑期短于龚建平
徐济成：广东五登基都靠一特质 新疆争冠最缺什么
铁证如山证明姚明未改年龄 CBA虚假注册已成潜规则
江苏赛区为何免受处罚？篮协直击斗殴事件息事宁人
军体会八一首战惨败希腊 王治郅20分难阻耻辱单节
联盟最疯外援存致命伤 惨败14岁女孩能否令其开窍
韦迪观摩12岁女足球员训练 直言中日差距最大在文化
郝海东我们总违背足球规律 人定胜天别开玩笑了
李凯回应“被开除”努力训练回国奥 两年进国家队
张艳茹：商导辞职令人心痛 奖赏来得晚优势球员流失
中乙综述：李明力挫郝海东阿尔滨夺冠 贵州摘季军
澳大利亚宣布女足亚洲杯名单 4海归+天才少女战中国
八一领导送秘制大棒骨慰问 王治郅春节后复出救场
国字号09预算砍千万跌3倍 足协钱紧足代会转战香河
高峰彭伟国微博发老相片 那些面孔还记得多少(图)
李春江怒骂之人演神奇40秒 这晚他变成了火箭阿泰
揭秘东北虎新季四新锐 “阿富汗外援”是秘密武器
2008-2009赛季CBA第19轮比赛结果及各队排名
胡雪峰领衔三核心休战 江苏四人上20主场险胜山东
四川冲击亚洲中学生冠军 “秀才球员”是夺冠法宝
中国联赛1周3起袭裁事件 谁让疯狂施暴者兴风作浪
传谢亚龙借足协竞聘来敛财 他比南杨两人更恶劣
大限将至上海仍无外援 李秋平：连经纪人都找不到
台湾名帅为何被CBA辞退？刘嘉发：不崇尚个人主义
两场连砍29分诠释最强者 同一位置江苏王已无对手
江苏喜忧参半易立恐做手术 唐正东有望季后赛复出
大运会-韩光徽一剑封喉 中国1-0胜意大利终获第7
贺炜：心痛无法阻女足退步 举国体制未尝不是条路
徐咏父母致歉：原谅他吧 早打算为儿子找心理医生
八一赛季首胜浙江取3连捷 新双核爆发铁军逼近前8
八一阵中复活一恐怖锋线 他回归意义堪比郅楠复出
苏帅杰森想做男篮助教 豪言能与粤帅共造无敌之师
足协酝酿提高本土教练待遇 聘外籍顾问或是画饼充饥
世界杯裁判是人不是神 两次错判成了FIFA替死鬼
蒋立升：蔚少辉犯错误也是我朋友 审判后我会去看他
帕克爆发完美演绎死神来了Ⅱ 广东灭山东取十连胜
国家德比只为成全一人功名 CBA第1人今夜当之无愧
韦迪正式公布挂职中层人选 五大新兵全面入主足协
广东核心积劳成疾不幸骨裂 杜锋季后赛肯定能上场
现场-朱芳雨单节轻松砍10分 死神压哨3分瞬间逆转
国安昔日叛逆情定新红楼梦妙玉 两人共沐爱河(图)
西亚媒体称张吉龙可能落选 哈曼已表态支持郑梦准
CBA选外援表面一片繁荣 天价下没人想当“冤大头” 
韩国主帅暗示有人因涉赌遭拒 操纵比赛仅获利千元
挫败江苏捧出最强射手 广东三国手皆被他一人超越
输球王非不屑新疆能夺冠他们防守并非说得那么好
北京宏登正式宣布易主 西班牙财团全面收购宏登
转播表-央视破例直播威尔斯次战 2台关注军苏对决
武汉队前门将涉嫌赌球被抓经过 酒店开房暴露身份
蔡振华青奥会后分管足球 不打短平快改打持久战
裁判反腐大会严防媒体记者 韦迪：不让龚建平案重演
老尤暗示姚明奥运将打40分钟能否出线只有问上帝
福建男篮迎来夏季风暴防守悍将恐离队 7新人上调
最佳摇摆人不输朱芳雨 陈磊：没人看好我进国家队
老东家让焦健牵肠挂肚 透露明年全运再回北京征战
两“小鬼”导演宏远逆转 周鹏留学归来献关键封盖
东莞胜福建晋级季后赛 哈里斯两双令波特33分失色
广东迎战广厦王仕鹏恐缺阵 朱芳雨将扛下更多责任
吴庆龙“三年三易主” 陕西男篮恐非大龙的终点站
CBA新赛季“美式洋枪”受宠 知情人基本上都在赌
韦掌门新政再成舆论焦点 “摒弃联赛为本”遭质疑
钻石杯是奥运前开胃小菜 中国男篮有望获最佳战绩
李楠离队回北京治疗膝伤 阿的江无奈不知飞刀归期
